Target sentence,Prediced sentence,Word error rate,Character error rate
CẦU THỦ TRẺ XUẤT SẮC NHẤT VIỆT NAM 2008,CẦU THỦ TRẺ XUẤT SẮC NHẤT VIỆT NAM 2008,0.0,0.0
19% TỪ ĐAN MẠCH,19% TƯ ĐAN MẠCH,0.25,0.06666667014360428
Cấu trúc tinh thể này dựa trên sự sắp xếp thông thường của nguyên tử hay ion bên trong và nó thường được biểu diễn theo dạng hình học mà tinh thể có,Cđ th tnht hn a tn sp b hn hưng ủng ên t on n trn vàn ưng ư u đn hodn hnh hc nh hc,1.0,0.4932432472705841
10 MÓN ĂN NGẬM HÓA CHẤT GÂY XÔN XAO THỊ TRƯỜNG THỰC PHẨM,10 MÓN ĂN NGẬM HÓA CHẤT GÂY XÔN XAO THỊ TRƯỜNG THỰC PHẨM,0.0,0.0
"""Cây Bút Dominic Pedler Viết Về Cách The Beatles Đi Xa Hơn Những Thể Loại Âm Nhạc Thông Thường: """"Hơn Cả Việc Đi Từ Thể Loại Này Sang Thể Loại Khác (Mà Đôi Lúc Bị Nhầm Lẫn)""",Cá h h n g n h h,1.0,0.9075144529342651
Cấu Trúc Hãng,Cấu Trúc Hãng,0.0,0.0
cấu trúc câu cơ bản là động-chủ–tân nhưng chủ-động-tân cũng hiện diện,cấu trúc câu cơ bản là động-chủ-tân nhưng chủ-động-tân cũng hiện diện,0.0833333358168602,0.014492753893136978
Cấu Trúc Của Tổ Chức Gồm Có Một Hội Chính Vụ Do Một Chủ Tịch Đứng Đầu,Cấu Trúc Của Tổ Chức Gồm Có Một Hội Chính Vụ Do Một Chủ Tịch Đứng Đầu,0.0,0.0
10 giờ sáng ngày 28 tháng 11 năm 1861,10 giờ sáng ngày 28 tháng 11 năm 1861,0.0,0.0
1.902.956 (43%) là người bosnia,1.902.956 (43%) là người bosnia,0.0,0.0
cau treo ba chieu tu neo dau tien tren the gioi,cau treo ba chieu tu neo dau tien tren the gioi,0.0,0.0
cay,cay,0.0,0.0
2 Tháng 6: Amos Tversky,2 Tháng 6: Amos Tversky,0.0,0.0
cá và khai thác khoáng sản,cá và khai thác khoáng sản,0.0,0.0
Cây Cà Phê Được Trồng Tại Những Khu Vực Đất Dốc Cao,Cây Cả Phê Được Trồng Tại Những Khu Vực Đất Dốc Cao,0.0833333358168602,0.019607843831181526
1927 - James Broderick,1927 - James Broderick,0.0,0.0
CẦU THỦ TRẺ XUẤT SẮC (AWARDED RETROSPECTIVELY):  TEÓFILO CUBILLAS (PERU),CÂU THỦ TRẺ XUẤT SẮC (AWARDED RETROSPECTIVELY): TEÓFILO CUBILLAS (PERU),0.10000000149011612,0.02777777798473835
bat nguon tu huyen Lac Duong,bat nguon tu huyen Lac Duong,0.0,0.0
Cả Việt Nam Và Trung Quốc Đều Tuyên Bố Chiến Thắng,Cả Việt Nam Và Trung Quốc Đều Tuyên Bố Chiến Thẳng,0.09090909361839294,0.019999999552965164
CẦU THỦ XUẤT SẮC NHẤT (GIẢI QUẢ BÓNG VÀNG):  ZINÉDINE ZIDANE,CẦU THỦ XUẤT SẮC NHẤT (GIẢI QUÁ BÓNG VÀNG): ZINÉDINE ZIDANE,0.09090909361839294,0.03333333507180214
1929 - Wim Van Est,1929 - Wim Van Est,0.0,0.0
1878–85,187885,1.0,0.1428571492433548
1915 - hans peter keller,1915 - hans peter keller,0.0,0.0
CAVALIER KING CHARLES SPANIELS PHÙ HỢP CUỘC SỐNG CĂN HỘ,CAVALIER KING CHARLES SPANIELS PHÙ HỢP CUỘC SỐNG CĂN HỘ,0.0,0.0
andrew stanton as emperor zurg,andrew stanton as emperor zurg,0.0,0.0
cầu thủ xuất sắc nhất cúp liên đoàn các châu lục 2013,cầu thủ xuất sắc nhất cúp liên đoàn các châu lục 2013,0.0,0.0
10 song dai nhat the gioi,10 song dai nhat the gioi,0.0,0.0
Câu Ứng Đối Nổi Tiếng,Câu Ứng Đối Nổi Tiếng,0.0,0.0
0.1891,0.1891,0.0,0.0
8 chiếc F-15J cũng được sản xuất theo từng bộ phận và chuyển lên tàu đưa đến Nhật để công đoạn lắp ráp cuối cùng do hãng Komaki của Mitsubishi thực hiện,Báhi ng đợc xt t h n h phn v chy u t c n i n mn tuih h iế,1.0,0.6710526347160339
1886 - Willis O'Brien,1886 - Willis O'Brien,0.0,0.0
Cau tren xa Cao Ky,Cau tren xa Cao Ky,0.0,0.0
Ca Vịnh (Sa,Ca Vịnh (Sa,0.0,0.0
Cầu thủ Việt kiều,Cầu thủ Việt kiều,0.0,0.0
Cau truc nay ban dau duoc cho la tuong tu nhu duoi sao choi,Cau truc nay ban dau duoc cho la tuong tu nhu duoi sao choi,0.0,0.0
Cây ca cao (Theobroma cacao) cho hạt được dùng như là một thành phần của các loại kẹo sô cô la,Cây ca cao (Theobroma cacao) cho hạt được dùng như là một thành phần của các loại keo số cô la,0.095238097012043,0.021276595070958138
1878,1878,0.0,0.0
01 khu tái định cư,01 khu tái định cư,0.0,0.0
Cấu Trúc Bị Động Cho Thấy Túc Từ Của Hành Động Ở Vị Trí Cấu Trúc Của Chủ Từ Và Sử Dụng Quá Khứ Phân Từ Tươnng Ứng Với Một Trợ Động Từ,Cá Túc Bị Động Cho ThyTtc Từ Của Hành Động Ở Vị rí CuTúc Của Chủ Từ Và Sử Dạng Quá Khứ Phân Từ Tương Ứng Với Mộ Tợ Động Từ,0.3333333432674408,0.10526315867900848
19 Tháng 9: Thành Lập Trung Quốc Dân Chủ Đồng Minh Tại Trùng Khánh,19 Tháng 9: Thành Lập Trung Quốc Dân Chủ Đồng Minh Tại Trùng Khánh,0.0,0.0
10 Hương (Trấn) Dân Tộc Mãn,10 Hương (Trấn) Dân Tộc Mãn,0.0,0.0
Cấu Trúc Này Chứa 4 Nguyên Tử Trong Một Ô Nguyên Tố,Cấu Trúc Này Chứa 4 Nguyên Tử Trong Một Ô Nguyên Tố,0.0,0.0
1927 – ferenc puskás,1927  ferenc puskás,0.25,0.05000000074505806
1876 – Catherine Laboure,1876  Catherine Laboure,0.25,0.0416666679084301
Cavalier King Charles Spaniel,Cavalier King Charles Spaniel,0.0,0.0
Cấu trúc máy tính và thiết bị ngoại vi,Cấu trúc máy tính và thiết bị ngoại vi,0.0,0.0
2 tháng 6 - Marquis de Sade,2 tháng 6 - Marquis de Sade,0.0,0.0
cầu thủ ý trong năm của serie a,cầu thủ ý trong năm của serie a,0.0,0.0
1908 – Luís Filipe,1908  Luís Filipe,0.25,0.0555555559694767
18 Tháng 9: St,18 Tháng 9: St,0.0,0.0
Cay bang cuoc,Cay bang cuoc,0.0,0.0
cầu vượt sông châu nối khu đô thị trung tâm với khu đô thị lam hạ,cầu vượt sông châu nối khu đô thị trung tâm với khu đô thị lam hạ,0.0,0.0
- 10 là số danh hiệu mà Djokovic giành được trong mùa,- 10 là số danh hiệu mà Djokovic giành được trong mùa,0.0,0.0
bắt nguồn từ truyền thuyết: vào một mùa thu cách đây cả ngàn năm,bắt nguồn từ truyền thuyết: vào một mùa thu cách đây cả ngàn năm,0.0,0.0
2 thang 7: Darren O'Shaughnessy,2 thang 7: Darren O'Shaughnessy,0.0,0.0
CẦU THỦ XUẤT SẮC NHẤT NĂM,CẦU THÚ XUẤT SẮC NHẤT NĂM,0.1666666716337204,0.03999999910593033
1879 – An Jung-geun,1879  An Jung-geun,0.25,0.05263157933950424
bat nguon tu ten trong tieng Hy Lap Trung dai cua Rus Kiev,bat nguon tu ten trong tieng Hy Lap Trung dai cua Rus Kiev,0.0,0.0
cấu trúc và thuộc tính đặc trưng cố định,cấu trúc và thuộc tính đặc trưng cổ định,0.1111111119389534,0.02500000037252903
cấu trúc công ty đa quốc gia,cấu trúc công ty da quốc gia,0.1428571492433548,0.0357142873108387
Cầu thủ xuất sắc nhất châu Âu do tạp chí El País (TBN) trao tặng,Cầu thủ xuất sắc nhất châu Âu do tạp chí El Pais (TBN) trao tặng,0.06666667014360428,0.015625
cầu xin tài lộc,cầu xin tài lộc,0.0,0.0
Cau thu xuat sac nhat quoc gia (tai ca Phap,Cau thu xuat sac nhat quoc gia (tai ca Phap,0.0,0.0
CÁ VÀ NẤM,CÁ VÀ NẤM,0.0,0.0
Bắt Nguồn Từ Dòng Liêu Hà Chảy Qua Tỉnh,Bắt Nguồn Từ Đòng Liêu Hà Chậy Qua Tỉnh,0.2222222238779068,0.05128205195069313
1 AAQIB JAVED KẾT THÚC VỚI 7–37,1 AAQIB JAVED KẾT THÚC VỚI 737,0.1428571492433548,0.032258063554763794
CÂY BỤI VÀ CÂY HOA,CÂY BỤI VÀ CÂY HOA,0.0,0.0
1910 – CƠ BẰNG PHI,1910  CƠ BẰNG PHI,0.20000000298023224,0.0555555559694767
CẦU THỦ XUẤT SẮC NHẤT CHÂU PHI,CẦU THỦ XUẤT SẮC NHẤT CHÂU PHI,0.0,0.0
cả việt nam và singapore đăng cai giải đấu này,cả việt nam và singapore đăng cai giải đấu này,0.0,0.0
1926 - Laszlo Papp,1926 - Laszlo Papp,0.0,0.0
cả về danh tiếng lẫn tài sản,cá về danh tiếng lẫn tài sản,0.1428571492433548,0.0357142873108387
1876,1876,0.0,0.0
Cầu thủ xuất sắc nhất,Cầu thủ xuất sắc nhất,0.0,0.0
cấu trúc chính xác hơn của nó được mô tả bằng công thức (HO)2SeO2,cấu trúc chính xác hơn của nó được mô tả bằng công thức (HO)2SeO2,0.0,0.0
BẮT NGUỒN TỪ NÚI BAYAN HAR THUỘC DÃY NÚI CÔN LÔN TRÊN CAO NGUYÊN THANH TẠNG PHÍA TÂY TỈNH THANH HẢI,BẮT NGUỒN TỪ NÚI BAYAN HAR THUỘC ĐÂY NÚI CÔN LÂN TRÊN CAO NGUYÊN THANH TẠNG PHÍA TÂY TỈNH THANH HẢI,0.095238097012043,0.03030303120613098
1897 – Lester B,1897  Lester B,0.25,0.06666667014360428
1899 – sự cai trị của tây ban nha đối với cuba chấm dứt theo hiệp định với hoa kỳ,1899  sự cai trị của tây ban nha đối với cuba chấm dứt theo hiệp định với hoa kỳ,0.05000000074505806,0.012345679104328156
BẮT NGUỒN TỪ ĐỘ CAO 2.500 M CỦA NGỌN BẠCH ĐẦU TRÊN DÃY TRƯỜNG BẠCH,BẮT NGUỒN TỪ ĐỘ CAO 2.500 M CỦA NGỌN BẠCH ĐẦU TRÊN DÃY TRƯỜNG BẠCH,0.0,0.0
bắt nguồn từ xã nứa ngam tỉnh điện biên,bắt nguồn từ xã nứa ngam tỉnh điện biên,0.0,0.0
1918 – Kurt Waldheim,1918  Kurt Waldheim,0.25,0.05000000074505806
Andrew Wiles Và Richard Dawkins,Andrew Wiles Và Richard Dawkins,0.0,0.0
Andrey Rublev Official Web Site,Andrey Rublev Official Web Site,0.0,0.0
"""cả về dân số và chính trị.""""""","""cả về dân số và chính trị,""""""",0.1428571492433548,0.03333333507180214
10 ĐIỀU TÂM NIỆM CỦA JŪDŌ,10 ĐIỀU TÂM NIỆM CỦA JD,0.1666666716337204,0.07999999821186066
"""0-14 Tuổi: 29,4% (Nam 12.524.098;""","""0-14 Tuổi: 29,4% (Nam 12.524.098""",0.20000000298023224,0.02857142873108387
"""8 giờ vui chơi!"""" cuộc đấu tranh lôi cuốn ngày càng đông người tham gia""","""8 giờ vui chơi"""" cuộc đấu tranh lôi cuốn ngày càng đông người tham gia""",0.06666667014360428,0.013698630034923553
cấu trúc âm tiết,cấu trúc âm tiểt,0.25,0.0625
Cavium,Cavium,0.0,0.0
CẤU TRÚC CHUNG CỦA MỘT ĐỊA CHỈ EMAIL,CẤU TRÚC CHUNG CỦA MỘT ĐỊA CHỈ EMAIL,0.0,0.0
cau thu va huan luyen vien bong ro thuoc NBA,cau thu va huan luyen vien bong ro thuoc NBL,0.10000000149011612,0.022727273404598236
BẮT NGUỒN TỪ NHỮNG ĐẤT BỒI TỐT DO SÔNG MISSISSIPPI LÀM LỤT,BẮC NGUIỒN TỦ NHỨNG ĐẤT BIỐI TẤT ĐO IÔNG MIESISSIPCPI L ÀM LVT,1.0,0.22413793206214905
Bắt Nguồn Từ Việc Văn Hóa Tại Các Lãnh Thổ Mới Chinh Phục Được Có Khác Biệt Lớn,Bắt Nguồn Từ Việc Văn Hóa Tại Các Lãnh Thổ Mới Chính Phục Được Có Khác Biệt Lớn,0.0555555559694767,0.012658228166401386
10 là cầu cứng,10 là cầu cứng,0.0,0.0
2 tháng 5 năm 1890,2 tháng 5 năm 1890),0.20000000298023224,0.0555555559694767
1922 - anrê nguyễn văn nam,1922 - anrê nguyễn văn nam,0.0,0.0
1912 – quốc vương abdelhafid ký hiệp ước fez,1912  quốc vương abdelhafid ký hiệp ước fez,0.1111111119389534,0.022727273404598236
"""1902 – Lương Khải Siêu Thành Lập """"Tân Dân Tùng Báo"""" Tại Yokohama""","""1902  Lương Khải Siêu Thành Lập """"Tân Dân Tùng Báo"""" Tại Yokohama""",0.07692307978868484,0.014705882407724857
1911 – Trygve Haavelmo,1911  Trygve Haavelmo,0.25,0.04545454680919647
1899 - Frederick Ix Of Denmark,1899 - Frederick Ix Of Denmark,0.0,0.0
CAVALIER KING CHARLES SPANIELS (ẤN BẢN 2),CAVALIER KING CHARLES SPANIELS (ẦN BẢN 2),0.1428571492433548,0.024390242993831635
1915 - Joe E,1915 - Joe E,0.0,0.0
1916 - Pierre Messmer,1916 - Pierre Messmer,0.0,0.0
1875 –Hiep uoc Sankt-Peterburg duoc phe chuan,1875 Hiep uoc Sankt-Peterburg duoc phe chuan,0.1428571492433548,0.02222222276031971
Cấu Trúc Cơ Bản Của Hình Thái Kinh Tế Xã Hội Bao Gồm:,Cấu Trúc Cơ Bản Của Hình Thái Kinh Tế Xã Hội Bao Gồm:,0.0,0.0
1920 tới 1922,1920 tới 1922,0.0,0.0
2 thang 7: Joey Dunlop,2 thang 7: Joey Dunlop,0.0,0.0
andrew johnson và nghị viện miền bắc tiến hành mở rộng quyền dân sự cho người da đen,andreur jichnson và nghả iện miện bhc tiến hành mã rếng quyền dân  cho ngi da đen,0.5555555820465088,0.1666666716337204
ANDREWS GOLF CLUB Ở YONKERS,ANDREWS GOLF CLUB Ở YONKERS,0.0,0.0
1916 – CHIẾN TRANH THẾ GIỚI THỨ NHẤT: TRẬN VERDUN KẾT THÚC VỚI THẮNG LỢI CỦA PHÁP,1916  CHIẾN TRANH THẾ GIỚI THỨ NHẤT: TRẬN VERDUN KẾT THÚC VỚI THẮNG LỢI CỦA PHÁP,0.05882352963089943,0.012345679104328156
8 Đảng Còn Lại Được Gọi Là Đảng Phái Dân Chủ (Hay Đảng Tham Chính),1 Đảng Còn Lại Được Gọi Là Đảng Phái Dân Chủ (Hay Đảng Tham Chính),0.06666667014360428,0.01515151560306549
1928 - Duong Quang Trung,1928 - Duong Quang Trung,0.0,0.0
cầu thủ và huấn luyện viên bóng đá người Hà Lan (s,cầu thủ và huấn luyện viên bóng đá người Hà Lan (s,0.0,0.0
8 HUYỆN TỰ TRỊ VÀ 56 QUẬN VÀ ĐƯỢC CHIA THÀNH 1511 CẤP HƯƠNG (613 TRẤN),B HUYỆN TỰ TRỊ VÀ 56 QUẬN VÀ ĐƯỢC CHIA THÀNH 151 CẤP HƯƠNG (613 TRẦN),0.1875,0.04285714402794838
1a/b (1867–71,10/b (186771,1.0,0.1538461595773697
1.Ban Ho,1.Ban Ho,0.0,0.0
cầu thủ và huấn luyện viên bóng đá người hà lan,cầu thủ và huấn luyện viên bóng đá người hà lan,0.0,0.0
bắt nguồn từ khi xuất hiện ngoại thương,bắt nguồn từ khi xuất hiện ngoại thương,0.0,0.0
1% Các Gia Đình Giàu Có Nhất Tại Trung Quốc Sở Hữu Hơn 1/3 Giá Trị Tài Sản Toàn Quốc,1% Các Gia Đình Giàu Có Nhất Tại Trung Quốc Sở Hữu Hơn /3 Giá Trị Tài Sản Toàn Quốc,0.05000000074505806,0.011904762126505375
1924 - George H,1924 - George H,0.0,0.0
1878-2006,1878-2006,0.0,0.0
Cả Về Số Lượng Lẫn Chất Lượng,Cả Về Số Lượng Lẫn Chất Lượng,0.0,0.0
CẤU TRÚC ĐỀ-THUYẾT (TOPIC-COMMENT) PHỔ BIẾN VÀ MỐI QUAN HỆ XÃ HỘI GIỮA NHỮNG NGƯỜI THAM GIA HỘI THOẠI ĐƯỢC XÁC ĐỊNH CÁCH DÙNG TỪ,CẦ THC Đ -TUYẾT( OPNG-COMENT) PH IỂN VÀ MỐI QAN HỆ XÃ HỘI GỮA NHỮNG NGƯỜI THAM GIA HỘI TOẠIĐƯỢC XÁC ĐỊNH CÁCH DÙNG TỪ,0.4399999976158142,0.140625
Cau truc cua hai quan An Do,Cau truc cua hai quan An Do,0.0,0.0
1876 – Willis Carrier,1876  Willis Carrier,0.25,0.0476190485060215
1918 - HOWARD COSELL,1918 - HOWARD COSELL,0.0,0.0
1919 – Kiichi Miyazawa,1919  Kiichi Miyazawa,0.25,0.04545454680919647
[1] BIANNUAL EXHIBITION OF POETRY AND DOCUMENTARY ABOUT STREETS AND TRAFFIC,1] BIANNUAL EXHIBITION OF POETRY AND DOCUMENTARY ABOUT STREETS AND TRAFFIC,0.09090909361839294,0.013333333656191826
1875 – mikhail kalinin,1875  mikhail kalinin,0.25,0.04545454680919647
Cây),Cãy),1.0,0.25
1925 – Stanley Karnow,1925  Stanley Karnow,0.25,0.0476190485060215
1877 – Frederick Soddy,1877  Frederick Soddy,0.25,0.04545454680919647
1898–1934 (1994),18981934 (1994)),1.0,0.125
18 nhà khoa học đã ký tên chung vào bài viết ủng hộ nghiên cứu của Mark Regnerus,18 nhà khoa học đã ký tên chung vào bài viết ủng hộ nghiên cứu của Mark Regnerus,0.0,0.0
Cau truc mang: thi HSDPA no yeu cau chuc nang packet-handling(xu ly goi) phai duoc truyen den mang ke canh,Cau truc mang: thi HSDPA no yeu cau chuc nang packet-handingixu ly goi) phai duoc truyen den mang ke canh,0.05000000074505806,0.01886792480945587
Cấu Trúc Của Tinh Thể Là Trạng Thái Ổn Định Nhất Trong Nhiều Trạng Thái Rắn Mà Nguyên Tử Có Thể Được Sắp Xếp Tại Nhiệt Độ Và Áp Suất Thông Thường,Cá T Ca TnhTh à Tn Thi n Định Nht Trng Niều Trng Tái n à guyn T ThếĐưc SắpXp Tại hiệt ộ Và Suất Thn Thờng,0.875,0.2896551787853241
CẢ VỀ LÃNH THỔ VÀ HẠ TẦNG,CẢ VỀ LÃNH THỔ VÀ HẠ TÀNG,0.1428571492433548,0.03999999910593033
CẢ VIỆT NAM DÂN CHỦ CỘNG HÒA VÀ QUỐC GIA VIỆT NAM ĐỀU KHÔNG CHỊU ĐỐI THOẠI VỚI NHAU,CẢ VIỆT NAM DÂN CHỦ CỘNG HÒA VÀ QUỐC GIA VIỆT NAM ĐỀU KHÔNG CHỊU ĐỐI THOẠI VỚI NHAU,0.0,0.0
19 Và 20 Tập Trung Tới 40% Dân Nghèo Của Paris Và Nhiều Khu Phố Còn Kèm Theo Các Khó Khăn Xã Hội Khác,19 Và 20 Tập Trung Tới 40s Dân Nghièo Của Paris Và Nhiều Khu Phố Còn Kèm Theo Các Khó Khăn Xã Hội Khác,0.0833333358168602,0.019801979884505272
"""1 Actus  120 Pes  35,52 M Hoặc 36 M""","""1 Actus 120 Pes 35,52 M Hoặc 36 M""",0.0,0.054054055362939835
1877 – Giải Vô địch Wimbledon đầu tiên khởi tranh,1877  Giải Vô địch Wimbledon đầu tiên khởi tranh,0.10000000149011612,0.020408162847161293
Cau truc cap bac va quan ham,Cau truc cap bac va quan ham,0.0,0.0
Cau thu xuat sac nhat tran chung ket,Cau thu xuat sac nhat tran chung ket,0.0,0.0
Ca voi sat thu lon nhat hanh tinh se duoc tai hien,Ca voi sat thu lon nhat hanh tinh se duoc tai hien,0.0,0.0
19 thị xã (huyện cấp thị),19 thị xã (huyện cấp thị),0.0,0.0
+Cấu trúc liên kết 2 chiều,+Cấu trúc liên kết 2 chiều,0.0,0.0
CAVALIER KING CHARLES SPANIELS LÀ HẬU DUỆ TỪ LOÀI KING CHARLES SPANIEL,CAVALIER KING CHARLES SPANIELS LÀ HẬU DUỆ TỪ LOÀI KING CHARLES SPANIEL,0.0,0.0
CÂY CẦU ĐƯỜNG SẮT ĐẦU TIÊN BẮC QUA SÔNG BRAHMAPUTRA CŨNG LÀ Ở ĐOẠN NÀY,CAY CÂU ĐƯỜUNG SÁT ĐẢU THÊN BÁC QUA CÔNG PRAHMMPUVTFRA CỦÙNG LÀ Ở ĐOLẠN NÀY,0.7333333492279053,0.2142857164144516
Cầu Thủ Slovenia,Cầu Thủ Slovenia,0.0,0.0
Bát-nhã-ba-la-mật-đa),Bát-nhã-ba-la-mật-đa),0.0,0.0
19 tháng 9: robert casadesus,19 tháng 9: robert casadesus,0.0,0.0
Cau thu va huan luyen vien,Cau thu va huan luyen vien,0.0,0.0
1909,1909,0.0,0.0
1.a,l.a,1.0,0.3333333432674408
18 Tháng 5 - Pierre-Gilles De Gennes,18 Tháng 5 - Pierre-Gilles De Gennes,0.0,0.0
1921 và 1930,1921 và 1930,0.0,0.0
Cau vuot Nga tu vong xoay Hoa An,cau vuot nga tu vong xoay hoa An,0.375,0.09375
cau van co van dung de mo ta mot vat,cau van co van dung de mo ta mot vat,0.0,0.0
19 Tháng 9: Oscar Sevilla,19 Tháng 9: Oscar Sevilla,0.0,0.0
10 ac milan 1950-51,10 ac milan 1950-51,0.0,0.0
1922 – uss langley được tái biên chế thành tàu sân bay đầu tiên của hải quân hoa kỳ,1922  uss langley được tái biên chế thành tàu sân bay đầu tiên của hải quân hoa kỳ,0.05263157933950424,0.012048192322254181
8 ĐẢO ĐÁ NHỎ CHƯA ĐƯỢC ĐẶT TÊN,8 ĐẢO ĐÁ NHỎ CHƯA ĐƯỢC ĐẶT TÊN,0.0,0.0
Cầu Vồng Là Kết Quả Của Sự Kết Hợp Giữa Phản Xạ Và Khúc Xạ Tia Sáng Qua Các Hạt Mưa Hoặc Hơi Nước,Cầu Vòng Là Kết Quả Của Sự Kết Hợp Giữa Phản Xạ Và Khúc Xạ Tia Sáng Qua Các Hạt Mưa Hoặc Hơi Nước,0.0416666679084301,0.010309278033673763
cay bong,cay bong,0.0,0.0
Cau tren xa Duong Phong,Cau tren xa Duong Phong,0.0,0.0
1926 - Ingvar Kamprad,1926 - Ingvar Kamprad,0.0,0.0
BẮT NGUỒN TỪ GAGAKU (NHÃ NHẠC),BẮT NGUỒN TỪ GAGAKU (NHÀ NHẠC),0.1666666716337204,0.03333333507180214
1896 – JOSÉ RIZAL,1896  JOSÉ RIZAL,0.25,0.05882352963089943
18 Tháng 11: Ervin Skela,18 Tháng 11: Ervin Skela,0.0,0.0
Cấu trúc đã được thiết kế để tiết kiệm năng lượng,Cấu trúc đã được thiết kế để tiết kiệm năng lượng,0.0,0.0
1875 - jean-baptiste-camille corot,1875 - jean-baptiste-camille corot,0.0,0.0
Cấu Trúc Tác Phẩm,Cấu Trúc Tác Phẩm,0.0,0.0
